Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID11175,11175,0,2.198,418.240,136.744,0,0,0,4,1,-10921639,110.148,107,97,144,6719,10.173,2.600,0.031,0.660
ID8819,8819,0,2.571,417.269,134.023,0,1,1,4,1,-10921639,110.754,107,97,149,6756,11.832,2.520,0.040,0.717
ID9368,9368,0,2.727,416.562,134.321,0,2,2,4,1,-10921639,111.836,108,97,146,6822,10.877,15.200,0.042,0.827
ID10870,10870,0,2.317,417.734,134.161,0,3,3,4,1,-10921639,110.213,108,98,140,6723,8.630,6.400,0.035,0.875
ID10292,10292,0,2.894,419.030,133.904,0,4,4,4,1,-10921639,111.475,107,97,147,6800,11.673,2.630,0.041,0.751
ID8866,8866,0,2.549,420.303,132.646,0,5,5,4,1,-10921639,109.951,106,90,147,6707,11.814,2.664,0.035,0.638
ID12057,12057,0,2.486,420.947,132.335,0,6,6,4,1,-10921639,110.689,108,98,151,6752,10.703,2.697,0.037,0.732
ID9720,9720,0,2.312,420.898,132.428,0,7,7,4,1,-10921639,110.459,107,97,142,6738,10.334,2.706,0.035,0.719
ID11776,11776,0,2.506,420.894,132.896,0,8,8,4,1,-10921639,111.705,109,98,147,6814,10.582,2.701,0.039,0.793
ID10587,10587,0,2.682,420.912,132.863,0,9,9,4,1,-10921639,111.148,108,98,139,6780,9.919,4.695,0.037,0.799
ID10009,10009,0,2.554,421.030,131.889,0,10,10,4,1,-10921639,110.410,107,97,142,6735,10.215,2.614,0.035,0.740
ID11186,11186,0,2.377,420.748,131.646,0,11,11,4,1,-10921639,109.787,106,94,140,6697,9.980,2.593,0.034,0.722
ID12345,12345,0,2.642,420.376,131.572,0,12,12,4,1,-10921639,110.541,107,97,149,6743,11.844,2.731,0.035,0.633
ID12565,12565,0,2.278,420.593,131.627,0,13,13,4,1,-10921639,110.016,108,96,143,6711,10.112,2.857,0.032,0.674
ID12934,12934,0,2.257,420.597,131.649,0,14,14,4,1,-10921639,109.311,106,95,143,6668,10.366,2.614,0.030,0.617
ID11173,11173,1,2.679,389.652,129.258,0,0,0,4,1,-10921639,111.016,108,100,146,6772,10.937,2.836,0.039,0.770
ID8818,8818,1,2.474,389.090,129.749,0,1,1,4,1,-10921639,110.770,106,99,161,6757,12.843,2.610,0.037,0.608
ID9366,9366,1,2.402,389.217,129.964,0,2,2,4,1,-10921639,110.656,108,94,156,6750,11.616,2.611,0.034,0.627
ID10869,10869,1,2.289,388.201,133.091,0,3,3,4,1,-10921639,110.705,108,97,153,6753,12.291,2.519,0.034,0.600
ID10291,10291,1,2.344,386.963,133.087,0,4,4,4,1,-10921639,111.131,107,96,166,6779,12.468,2.545,0.034,0.580
ID8864,8864,1,2.526,385.384,133.361,0,5,5,4,1,-10921639,110.377,105,97,158,6733,12.614,2.622,0.034,0.583
ID12058,12058,1,2.770,385.098,132.854,0,6,6,4,1,-10921639,110.541,106,94,152,6743,13.060,2.540,0.038,0.616
ID9721,9721,1,2.443,384.835,133.035,0,7,7,4,1,-10921639,110.016,106,97,166,6711,12.625,2.657,0.033,0.556
ID11777,11777,1,2.574,385.355,133.509,0,8,8,4,1,-10921639,110.459,107,98,151,6738,11.671,2.664,0.038,0.688
ID10586,10586,1,2.391,384.248,132.671,0,9,9,4,1,-10921639,110.213,107,96,152,6723,10.652,2.670,0.034,0.685
ID10010,10010,1,2.215,383.909,133.019,0,10,10,4,1,-10921639,109.639,106,99,141,6688,10.101,2.599,0.030,0.641
ID11188,11188,1,2.393,383.568,133.011,0,11,11,4,1,-10921639,110.525,106,97,154,6742,10.902,2.576,0.035,0.693
ID12346,12346,1,2.291,382.949,133.160,0,12,12,4,1,-10921639,110.213,107,98,141,6723,9.513,2.728,0.033,0.747
ID12567,12567,1,2.074,382.770,133.251,0,13,13,4,1,-10921639,110.213,107,99,141,6723,9.543,13.583,0.026,0.576
ID12933,12933,1,3.023,384.121,131.928,0,14,14,4,1,-10921639,114.066,111,99,136,6958,10.333,6.400,0.047,0.993
ID11179,11179,2,1.905,400.859,145.395,0,0,0,4,1,-10921639,109.082,107,97,136,6654,8.800,14.327,0.028,0.669
ID8821,8821,2,1.984,401.216,144.931,0,1,1,4,1,-10921639,109.000,107,97,144,6649,8.807,2.732,0.027,0.656
ID9371,9371,2,1.924,401.802,144.354,0,2,2,4,1,-10921639,108.820,106,98,143,6638,9.784,2.597,0.028,0.598
ID10871,10871,2,1.839,400.344,142.012,0,3,3,4,1,-10921639,107.934,106,96,136,6584,8.860,2.771,0.024,0.563
ID10293,10293,2,1.688,398.889,138.062,0,4,4,4,1,-10921639,108.574,107,99,136,6623,7.493,15.200,0.024,0.681
ID8868,8868,2,1.973,400.549,139.385,0,5,5,4,1,-10921639,108.902,107,97,137,6643,9.205,2.820,0.028,0.637
ID12059,12059,2,1.600,399.706,138.239,0,6,6,4,1,-10921639,107.820,106,93,148,6577,9.486,2.612,0.023,0.522
ID9722,9722,2,1.779,399.610,138.643,0,7,7,4,1,-10921639,108.426,105,96,141,6614,9.496,2.646,0.026,0.574
ID11778,11778,2,1.566,399.344,138.088,0,8,8,4,1,-10921639,107.131,105,98,133,6535,7.896,2.635,0.019,0.496
ID10588,10588,2,1.774,399.409,138.016,0,9,9,4,1,-10921639,108.525,107,98,139,6620,8.284,2.700,0.029,0.741
ID10011,10011,2,1.869,399.063,138.179,0,10,10,4,1,-10921639,108.557,106,96,133,6622,8.265,2.640,0.027,0.684
ID11190,11190,2,1.819,397.899,137.405,0,11,11,4,1,-10921639,107.770,105,97,133,6574,9.159,2.675,0.024,0.549
ID12347,12347,2,1.685,397.949,136.999,0,12,12,4,1,-10921639,107.885,106,97,132,6581,7.770,2.522,0.024,0.639
ID12570,12570,2,1.501,397.472,136.469,0,13,13,4,1,-10921639,107.426,106,95,143,6553,8.537,2.610,0.022,0.546
ID12935,12935,2,2.034,397.379,136.755,0,14,14,4,1,-10921639,109.459,105,100,140,6677,10.054,2.700,0.031,0.645
ID11181,11181,3,3.143,282.161,153.437,0,0,0,4,1,-10921639,114.754,110,98,168,7000,16.029,2.598,0.048,0.660
ID8823,8823,3,2.246,281.766,155.070,0,1,1,4,1,-10921639,114.311,110,100,167,6973,14.707,2.812,0.015,0.225
ID9373,9373,3,3.748,276.913,152.093,0,2,2,4,1,-10921639,113.656,108,98,166,6933,15.409,2.702,0.052,0.725
ID10873,10873,3,3.209,275.259,147.591,0,3,3,4,1,-10921639,112.754,108,97,157,6878,13.484,2.703,0.048,0.760
ID10294,10294,3,2.569,276.565,144.431,0,4,4,4,1,-10921639,110.590,106,97,158,6746,12.998,2.768,0.040,0.650
ID8870,8870,3,2.900,272.884,141.395,0,5,5,4,1,-10921639,111.672,108,92,165,6812,13.766,2.615,0.039,0.605
ID12060,12060,3,2.529,272.240,140.463,0,6,6,4,1,-10921639,110.869,106,98,162,6763,12.811,2.592,0.039,0.652
ID9723,9723,3,2.720,272.038,140.348,0,7,7,4,1,-10921639,110.639,107,97,157,6749,12.578,2.651,0.041,0.690
ID11779,11779,3,2.906,272.092,140.417,0,8,8,4,1,-10921639,111.475,106,97,161,6800,14.509,2.673,0.043,0.627
ID10589,10589,3,2.751,271.478,140.160,0,9,9,4,1,-10921639,111.557,106,94,163,6805,13.799,2.641,0.040,0.623
ID10012,10012,3,3.124,271.204,139.967,0,10,10,4,1,-10921639,112.393,108,96,157,6856,13.391,2.759,0.043,0.688
ID11192,11192,3,2.869,271.494,139.971,0,11,11,4,1,-10921639,111.951,106,98,154,6829,13.718,2.616,0.041,0.642
ID12348,12348,3,2.422,271.419,141.012,0,12,12,4,1,-10921639,110.180,105,98,164,6721,12.621,2.630,0.035,0.597
ID12573,12573,3,2.938,272.050,140.932,0,13,13,4,1,-10921639,111.131,107,96,159,6779,13.927,2.572,0.039,0.594
ID12936,12936,3,2.624,270.667,140.477,0,14,14,4,1,-10921639,111.033,107,97,156,6773,13.004,2.647,0.041,0.678
ID11177,11177,4,11.400,285.823,143.075,0,0,0,4,1,-10921639,138.541,119,99,251,8451,42.450,2.634,0.139,0.798
